rho	chisq	p
0.0129734633055869	2.58495081062381	0.10788375978218
0.0123796911932883	2.37576677498532	0.123231077401172
-0.0110935906543523	1.72526611919873	0.189016588664006
-0.0501792129247429	29.881286696058	4.59324713936729e-08
-0.042132463606248	29.1742367919067	6.61530123397538e-08
-0.0153857029049708	4.16779136158235	0.0411994731640949
0.0457059923857987	29.223885576988	6.44794163472268e-08
-0.0380843162568634	23.3110126053577	1.37808698057914e-06
-0.0197619961153514	6.29976397367208	0.0120754049331477
-0.0305767725743618	15.4756383644054	8.35755088177012e-05
-0.00654805249441354	0.500357814456229	0.479342943809229
-0.0262650067733831	10.8245431033794	0.00100163408606694
NA	145.592237503853	4.43458174166401e-25
